keyword,count
activist,1
administration,1
affair,1
agency,2
alaska,1
am,1
animal,1
appropriation,1
approps,1
bear,1
bird,1
bldg,1
california,2
case,1
court,2
dob,1
environmental,2
federal,7
fish,6
government,1
grizzly,1
group,1
habitat,3
house,2
judge,1
justice,1
kill,1
land,1
law,2
list,2
make,1
office,1
park,1
people,1
plan,2
pm,1
polar,1
population,1
protect,1
protection,1
republican,1
rhob,1
river,1
salmon,1
san,1
sea,1
service,3
state,8
subc,1
threaten,1
time,1
us,1
vote,1
water,3
wildlife,5
wolf,2
year,7
